variable,year,pct
academics.program_percentage.agriculture,2001,0
academics.program_percentage.resources,2001,0
academics.program_percentage.architecture,2001,0.0422
academics.program_percentage.ethnic_cultural_gender,2001,0.0307
academics.program_percentage.communication,2001,0
academics.program_percentage.communications_technology,2001,0
academics.program_percentage.computer,2001,0.0859
academics.program_percentage.personal_culinary,2001,0
academics.program_percentage.education,2001,0
academics.program_percentage.engineering,2001,0.2388
academics.program_percentage.engineering_technology,2001,0
academics.program_percentage.language,2001,0.0259
academics.program_percentage.family_consumer_science,2001,0
academics.program_percentage.legal,2001,0
academics.program_percentage.english,2001,0.0499
academics.program_percentage.humanities,2001,0.0144
academics.program_percentage.library,2001,0
academics.program_percentage.biological,2001,0.071
academics.program_percentage.mathematics,2001,0.011
academics.program_percentage.military,2001,0
academics.program_percentage.multidiscipline,2001,0
academics.program_percentage.parks_recreation_fitness,2001,0
academics.program_percentage.philosophy_religious,2001,0.0086
academics.program_percentage.theology_religious_vocation,2001,0
academics.program_percentage.physical_science,2001,0.0321
academics.program_percentage.science_technology,2001,0
academics.program_percentage.psychology,2001,0.0446
academics.program_percentage.security_law_enforcement,2001,0
academics.program_percentage.public_administration_social_service,2001,0
academics.program_percentage.social_science,2001,0.1612
academics.program_percentage.construction,2001,0
academics.program_percentage.mechanic_repair_technology,2001,0
academics.program_percentage.precision_production,2001,0
academics.program_percentage.transportation,2001,0
academics.program_percentage.visual_performing,2001,0.035
academics.program_percentage.health,2001,0
academics.program_percentage.business_marketing,2001,0.1122
academics.program_percentage.history,2001,0.0365
academics.program_percentage.agriculture,2002,0
academics.program_percentage.resources,2002,0
academics.program_percentage.architecture,2002,0.0329
academics.program_percentage.ethnic_cultural_gender,2002,0.0283
academics.program_percentage.communication,2002,0
academics.program_percentage.communications_technology,2002,0
academics.program_percentage.computer,2002,0.0745
academics.program_percentage.personal_culinary,2002,0
academics.program_percentage.education,2002,0
academics.program_percentage.engineering,2002,0.2904
academics.program_percentage.engineering_technology,2002,0
academics.program_percentage.language,2002,0.0238
academics.program_percentage.family_consumer_science,2002,0
academics.program_percentage.legal,2002,0
academics.program_percentage.english,2002,0.0375
academics.program_percentage.humanities,2002,0.0197
academics.program_percentage.library,2002,0
academics.program_percentage.biological,2002,0.0709
academics.program_percentage.mathematics,2002,0.0151
academics.program_percentage.military,2002,0
academics.program_percentage.multidiscipline,2002,5e-4
academics.program_percentage.parks_recreation_fitness,2002,0
academics.program_percentage.philosophy_religious,2002,0.0059
academics.program_percentage.theology_religious_vocation,2002,0
academics.program_percentage.physical_science,2002,0.0361
academics.program_percentage.science_technology,2002,0
academics.program_percentage.psychology,2002,0.0549
academics.program_percentage.security_law_enforcement,2002,0
academics.program_percentage.public_administration_social_service,2002,0
academics.program_percentage.social_science,2002,0.1596
academics.program_percentage.construction,2002,0
academics.program_percentage.mechanic_repair_technology,2002,0
academics.program_percentage.precision_production,2002,0
academics.program_percentage.transportation,2002,0
academics.program_percentage.visual_performing,2002,0.0283
academics.program_percentage.health,2002,0
academics.program_percentage.business_marketing,2002,0.0979
academics.program_percentage.history,2002,0.0238
academics.program_percentage.agriculture,2003,0.1223
academics.program_percentage.resources,2003,0.0176
academics.program_percentage.architecture,2003,0.038
academics.program_percentage.ethnic_cultural_gender,2003,0.0121
academics.program_percentage.communication,2003,0.0231
academics.program_percentage.communications_technology,2003,0
academics.program_percentage.computer,2003,0.0463
academics.program_percentage.personal_culinary,2003,0.0019
academics.program_percentage.education,2003,0.0044
academics.program_percentage.engineering,2003,0.173
academics.program_percentage.engineering_technology,2003,0
academics.program_percentage.language,2003,0.0143
academics.program_percentage.family_consumer_science,2003,0.0449
academics.program_percentage.legal,2003,0
academics.program_percentage.english,2003,0.022
academics.program_percentage.humanities,2003,0.0077
academics.program_percentage.library,2003,0
academics.program_percentage.biological,2003,0.1118
academics.program_percentage.mathematics,2003,0.0129
academics.program_percentage.military,2003,0
academics.program_percentage.multidiscipline,2003,0.003
academics.program_percentage.parks_recreation_fitness,2003,0
academics.program_percentage.philosophy_religious,2003,0.0069
academics.program_percentage.theology_religious_vocation,2003,0
academics.program_percentage.physical_science,2003,0.0193
academics.program_percentage.science_technology,2003,0
academics.program_percentage.psychology,2003,0.0251
academics.program_percentage.security_law_enforcement,2003,0
academics.program_percentage.public_administration_social_service,2003,0.0292
academics.program_percentage.social_science,2003,0.105
academics.program_percentage.construction,2003,0
academics.program_percentage.mechanic_repair_technology,2003,0
academics.program_percentage.precision_production,2003,0
academics.program_percentage.transportation,2003,0
academics.program_percentage.visual_performing,2003,0.0309
academics.program_percentage.health,2003,0
academics.program_percentage.business_marketing,2003,0.1105
academics.program_percentage.history,2003,0.0176
academics.program_percentage.agriculture,2004,0.1118
academics.program_percentage.resources,2004,0.0135
academics.program_percentage.architecture,2004,0.0291
academics.program_percentage.ethnic_cultural_gender,2004,0.0138
academics.program_percentage.communication,2004,0.0171
academics.program_percentage.communications_technology,2004,0
academics.program_percentage.computer,2004,0.0327
academics.program_percentage.personal_culinary,2004,3e-4
academics.program_percentage.education,2004,0.001
academics.program_percentage.engineering,2004,0.1614
academics.program_percentage.engineering_technology,2004,0
academics.program_percentage.language,2004,0.0135
academics.program_percentage.family_consumer_science,2004,0.0421
academics.program_percentage.legal,2004,0
academics.program_percentage.english,2004,0.0283
academics.program_percentage.humanities,2004,0.0069
academics.program_percentage.library,2004,0
academics.program_percentage.biological,2004,0.1004
academics.program_percentage.mathematics,2004,0.0089
academics.program_percentage.military,2004,0
academics.program_percentage.multidiscipline,2004,0.0049
academics.program_percentage.parks_recreation_fitness,2004,0
academics.program_percentage.philosophy_religious,2004,0.0059
academics.program_percentage.theology_religious_vocation,2004,0
academics.program_percentage.physical_science,2004,0.0209
academics.program_percentage.science_technology,2004,0
academics.program_percentage.psychology,2004,0.022
academics.program_percentage.security_law_enforcement,2004,0
academics.program_percentage.public_administration_social_service,2004,0.0268
academics.program_percentage.social_science,2004,0.0973
academics.program_percentage.construction,2004,0
academics.program_percentage.mechanic_repair_technology,2004,0
academics.program_percentage.precision_production,2004,0
academics.program_percentage.transportation,2004,0
academics.program_percentage.visual_performing,2004,0.0255
academics.program_percentage.health,2004,0.0026
academics.program_percentage.business_marketing,2004,0.1977
academics.program_percentage.history,2004,0.0156
academics.program_percentage.agriculture,2005,0.1087
academics.program_percentage.resources,2005,0.0139
academics.program_percentage.architecture,2005,0.0306
academics.program_percentage.ethnic_cultural_gender,2005,0.0123
academics.program_percentage.communication,2005,0.0227
academics.program_percentage.communications_technology,2005,0
academics.program_percentage.computer,2005,0.032
academics.program_percentage.personal_culinary,2005,0
academics.program_percentage.education,2005,5e-4
academics.program_percentage.engineering,2005,0.1678
academics.program_percentage.engineering_technology,2005,0
academics.program_percentage.language,2005,0.0178
academics.program_percentage.family_consumer_science,2005,0.0404
academics.program_percentage.legal,2005,0
academics.program_percentage.english,2005,0.0246
academics.program_percentage.humanities,2005,0.0101
academics.program_percentage.library,2005,0
academics.program_percentage.biological,2005,0.109
academics.program_percentage.mathematics,2005,0.0079
academics.program_percentage.military,2005,0
academics.program_percentage.multidiscipline,2005,0.0066
academics.program_percentage.parks_recreation_fitness,2005,0
academics.program_percentage.philosophy_religious,2005,0.0104
academics.program_percentage.theology_religious_vocation,2005,0
academics.program_percentage.physical_science,2005,0.0189
academics.program_percentage.science_technology,2005,0
academics.program_percentage.psychology,2005,0.0219
academics.program_percentage.security_law_enforcement,2005,0
academics.program_percentage.public_administration_social_service,2005,0.0199
academics.program_percentage.social_science,2005,0.1134
academics.program_percentage.construction,2005,0
academics.program_percentage.mechanic_repair_technology,2005,0
academics.program_percentage.precision_production,2005,0
academics.program_percentage.transportation,2005,0
academics.program_percentage.visual_performing,2005,0.0295
academics.program_percentage.health,2005,0.0019
academics.program_percentage.business_marketing,2005,0.1574
academics.program_percentage.history,2005,0.0219
academics.program_percentage.agriculture,2006,0.1101
academics.program_percentage.resources,2006,0.013
academics.program_percentage.architecture,2006,0.0364
academics.program_percentage.ethnic_cultural_gender,2006,0.0148
academics.program_percentage.communication,2006,0.0213
academics.program_percentage.communications_technology,2006,0
academics.program_percentage.computer,2006,0.0221
academics.program_percentage.personal_culinary,2006,0
academics.program_percentage.education,2006,5e-4
academics.program_percentage.engineering,2006,0.1695
academics.program_percentage.engineering_technology,2006,0
academics.program_percentage.language,2006,0.017
academics.program_percentage.family_consumer_science,2006,0.0383
academics.program_percentage.legal,2006,0
academics.program_percentage.english,2006,0.0229
academics.program_percentage.humanities,2006,0.0108
academics.program_percentage.library,2006,0
academics.program_percentage.biological,2006,0.1066
academics.program_percentage.mathematics,2006,0.0108
academics.program_percentage.military,2006,0
academics.program_percentage.multidiscipline,2006,0.0154
academics.program_percentage.parks_recreation_fitness,2006,0
academics.program_percentage.philosophy_religious,2006,0.0084
academics.program_percentage.theology_religious_vocation,2006,0
academics.program_percentage.physical_science,2006,0.024
academics.program_percentage.science_technology,2006,0
academics.program_percentage.psychology,2006,0.0178
academics.program_percentage.security_law_enforcement,2006,0
academics.program_percentage.public_administration_social_service,2006,0.0237
academics.program_percentage.social_science,2006,0.099
academics.program_percentage.construction,2006,0
academics.program_percentage.mechanic_repair_technology,2006,0
academics.program_percentage.precision_production,2006,0
academics.program_percentage.transportation,2006,0
academics.program_percentage.visual_performing,2006,0.0267
academics.program_percentage.health,2006,0
academics.program_percentage.business_marketing,2006,0.1676
academics.program_percentage.history,2006,0.0232
academics.program_percentage.agriculture,2007,0.1263
academics.program_percentage.resources,2007,0.0138
academics.program_percentage.architecture,2007,0.0308
academics.program_percentage.ethnic_cultural_gender,2007,0.0161
academics.program_percentage.communication,2007,0.0201
academics.program_percentage.communications_technology,2007,0
academics.program_percentage.computer,2007,0.0263
academics.program_percentage.personal_culinary,2007,0
academics.program_percentage.education,2007,8e-4
academics.program_percentage.engineering,2007,0.1814
academics.program_percentage.engineering_technology,2007,0
academics.program_percentage.language,2007,0.0127
academics.program_percentage.family_consumer_science,2007,0.0376
academics.program_percentage.legal,2007,0
academics.program_percentage.english,2007,0.0206
academics.program_percentage.humanities,2007,0.0059
academics.program_percentage.library,2007,0
academics.program_percentage.biological,2007,0.1164
academics.program_percentage.mathematics,2007,0.009
academics.program_percentage.military,2007,0
academics.program_percentage.multidiscipline,2007,0.0045
academics.program_percentage.parks_recreation_fitness,2007,0
academics.program_percentage.philosophy_religious,2007,0.0045
academics.program_percentage.theology_religious_vocation,2007,0
academics.program_percentage.physical_science,2007,0.028
academics.program_percentage.science_technology,2007,0
academics.program_percentage.psychology,2007,0.0235
academics.program_percentage.security_law_enforcement,2007,0
academics.program_percentage.public_administration_social_service,2007,0.0226
academics.program_percentage.social_science,2007,0.1023
academics.program_percentage.construction,2007,0
academics.program_percentage.mechanic_repair_technology,2007,0
academics.program_percentage.precision_production,2007,0
academics.program_percentage.transportation,2007,0
academics.program_percentage.visual_performing,2007,0.0237
academics.program_percentage.health,2007,0.0034
academics.program_percentage.business_marketing,2007,0.1512
academics.program_percentage.history,2007,0.0184
academics.program_percentage.agriculture,2008,0.1341
academics.program_percentage.resources,2008,0.0087
academics.program_percentage.architecture,2008,0.0412
academics.program_percentage.ethnic_cultural_gender,2008,0.0173
academics.program_percentage.communication,2008,0.0185
academics.program_percentage.communications_technology,2008,0
academics.program_percentage.computer,2008,0.0262
academics.program_percentage.personal_culinary,2008,0
academics.program_percentage.education,2008,6e-4
academics.program_percentage.engineering,2008,0.1834
academics.program_percentage.engineering_technology,2008,0
academics.program_percentage.language,2008,0.0124
academics.program_percentage.family_consumer_science,2008,0.0381
academics.program_percentage.legal,2008,0
academics.program_percentage.english,2008,0.0216
academics.program_percentage.humanities,2008,0.0092
academics.program_percentage.library,2008,0
academics.program_percentage.biological,2008,0.1223
academics.program_percentage.mathematics,2008,0.0098
academics.program_percentage.military,2008,0
academics.program_percentage.multidiscipline,2008,0.0118
academics.program_percentage.parks_recreation_fitness,2008,0
academics.program_percentage.philosophy_religious,2008,0.0049
academics.program_percentage.theology_religious_vocation,2008,0
